case,category,budget_pct,prompt_tokens,measured_completion_tokens,total_tokens,page_tokens,total_pages,hot_pages,pinned_pages,warm_pages,cold_pages,raw_k_pages,raw_v_pages,int8_k_pages,int8_v_pages,int4_v_pages,raw_equivalent_bytes,hot_bytes,warm_bytes,cold_bytes,effective_bytes,effective_bytes_per_token,compression_vs_raw_pct,endpoint_completion_tok_s_c1,endpoint_completion_tok_s_c2,endpoint_ttft_s,contains_target_c1_pct,contains_target_c2_pct,plan_range_count,resolved_layer_pages,shadowed_layer_page_matches,plan_validation_ok
instruction_persistence,instruction_retention,12.5,1241,128,1369,16,86,11,1,74,0,576,576,3552,1184,2368,134578176,18186240,48496640,0,66682880,48709.189,50.45,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True
multi_hop_bridge,multi_hop,12.5,635,160,795,16,50,7,1,42,0,384,384,2016,672,1344,78151680,12091392,27525120,0,39616512,49832.091,49.308,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True
payload_dense,dense_noise,12.5,1227,192,1419,16,89,12,1,76,0,624,624,3648,1216,2432,139493376,19955712,49807360,0,69763072,49163.546,49.988,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True
long_generation_systems,long_generation,12.5,360,384,744,16,47,6,1,40,0,336,336,1920,640,1280,73138176,10223616,26214400,0,36438016,48975.828,50.179,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True
early_anchor_long_tail,anchor_recall,6.25,1231,96,1327,16,83,6,1,76,0,336,336,3648,1216,2432,130449408,10911744,49807360,0,60719104,45756.672,53.454,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True
middle_anchor_detour,anchor_recall,6.25,954,128,1082,16,68,5,1,62,0,288,288,2976,992,1984,106364928,8847360,40632320,0,49479680,45729.834,53.481,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True
late_anchor_control,late_control,6.25,623,96,719,16,45,3,1,41,0,192,192,1968,656,1312,70680576,6193152,26869760,0,33062912,45984.579,53.222,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True
decoy_collision,confusable_recall,6.25,675,128,803,16,51,4,1,46,0,240,240,2208,736,1472,78938112,6586368,30146560,0,36732928,45744.618,53.466,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True
routing_table,structured_lookup,6.25,660,128,788,16,50,4,1,45,0,240,240,2160,720,1440,77463552,6684672,29491200,0,36175872,45908.467,53.299,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True
structured_records,structured_lookup,6.25,671,160,831,16,52,4,1,47,0,240,240,2256,752,1504,81690624,7766016,30801920,0,38567936,46411.475,52.788,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True
instruction_persistence,instruction_retention,6.25,1241,128,1369,16,86,6,1,79,0,336,336,3792,1264,2528,134578176,10321920,51773440,0,62095360,45358.188,53.859,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True
multi_hop_bridge,multi_hop,6.25,635,160,795,16,50,4,1,45,0,240,240,2160,720,1440,78151680,7372800,29491200,0,36864000,46369.811,52.83,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True
payload_dense,dense_noise,6.25,1227,192,1419,16,89,6,1,82,0,336,336,3936,1312,2624,139493376,10518528,53739520,0,64258048,45284.037,53.935,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True
long_generation_systems,long_generation,6.25,360,384,744,16,47,3,1,43,0,192,192,2064,688,1376,73138176,5505024,28180480,0,33685504,45276.215,53.943,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True
early_anchor_long_tail,anchor_recall,0.0,1231,96,1327,16,83,0,1,82,0,48,48,3936,1312,2624,130449408,1572864,53698560,0,55271424,41651.412,57.63,29.3345,35.6871,0.1778,100.0,100.0,3,3984,0,True
middle_anchor_detour,anchor_recall,0.0,954,128,1082,16,68,0,1,67,0,48,48,3216,1072,2144,106364928,1572864,43663360,0,45236224,41807.97,57.471,29.4023,35.949,0.1539,100.0,100.0,3,3264,0,True
late_anchor_control,late_control,0.0,623,96,719,16,45,0,1,44,0,48,48,2112,704,1408,70680576,1572864,28794880,0,30367744,42236.083,57.035,30.2448,36.8657,0.1472,100.0,100.0,3,2160,0,True
decoy_collision,confusable_recall,0.0,675,128,803,16,51,0,1,50,0,48,48,2400,800,1600,78938112,1572864,32235520,0,33808384,42102.595,57.171,30.1318,36.936,0.0969,100.0,100.0,3,2448,0,True
routing_table,structured_lookup,0.0,660,128,788,16,50,0,1,49,0,48,48,2352,784,1568,77463552,1572864,31621120,0,33193984,42124.345,57.149,30.1439,36.5803,0.1063,0.0,0.0,3,2400,0,True
structured_records,structured_lookup,0.0,671,160,831,16,52,0,1,51,0,48,48,2448,816,1632,81690624,1572864,33382400,0,34955264,42064.096,57.21,29.694,45.3907,0.1469,0.0,0.0,3,2496,0,True
instruction_persistence,instruction_retention,0.0,1241,128,1369,16,86,0,1,85,0,48,48,4080,1360,2720,134578176,1572864,55418880,0,56991744,41630.2,57.652,29.5305,36.5824,0.1432,100.0,100.0,3,4128,0,True
multi_hop_bridge,multi_hop,0.0,635,160,795,16,50,0,1,49,0,48,48,2352,784,1568,78151680,1572864,31907840,0,33480704,42114.093,57.159,29.5628,36.2052,0.1396,100.0,100.0,3,2400,0,True
payload_dense,dense_noise,0.0,1227,192,1419,16,89,0,1,88,0,48,48,4224,1408,2816,139493376,1572864,57466880,0,59039744,41606.585,57.676,29.3058,36.7109,0.1506,100.0,100.0,3,4272,0,True
long_generation_systems,long_generation,0.0,360,384,744,16,47,0,1,46,0,48,48,2208,736,1472,73138176,1572864,29818880,0,31391744,42193.204,57.079,29.6228,35.4191,0.1244,0.0,0.0,3,2256,0,True
