case,category,budget_pct,prompt_tokens,measured_completion_tokens,total_tokens,page_tokens,total_pages,hot_pages,pinned_pages,warm_pages,cold_pages,raw_k_pages,raw_v_pages,int8_k_pages,int8_v_pages,int4_v_pages,raw_equivalent_bytes,hot_bytes,warm_bytes,cold_bytes,effective_bytes,effective_bytes_per_token,compression_vs_raw_pct,endpoint_completion_tok_s_c1,endpoint_completion_tok_s_c2,endpoint_ttft_s,contains_target_c1_pct,contains_target_c2_pct,plan_range_count,resolved_layer_pages,shadowed_layer_page_matches,plan_validation_ok,warm_reduction_vs_uniform_int8_pct,total_reduction_vs_same_hot_uniform_int8_pct
decoy_collision,confusable_recall,50.0,675,128,803,8,101,51,1,49,0,2496,2496,2352,784,1568,78938112,40402944,16056320,0,56459264,70310.416,28.477,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,5.382
routing_table,structured_lookup,50.0,660,128,788,8,99,50,1,48,0,2448,2448,2304,768,1536,77463552,39714816,15728640,0,55443456,70359.716,28.426,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,5.369
structured_records,structured_lookup,50.0,671,160,831,8,104,52,1,51,0,2544,2544,2448,816,1632,81690624,41582592,16711680,0,58294272,70149.545,28.64,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,5.423
instruction_persistence,instruction_retention,50.0,1241,128,1369,8,172,86,1,85,0,4176,4176,4080,1360,2720,134578176,67731456,27852800,0,95584256,69820.494,28.975,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,5.507
multi_hop_bridge,multi_hop,50.0,635,160,795,8,100,50,1,49,0,2448,2448,2352,784,1568,78151680,39616512,16056320,0,55672832,70028.719,28.763,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,5.454
payload_dense,dense_noise,50.0,1227,192,1419,8,178,89,1,88,0,4320,4320,4224,1408,2816,139493376,70287360,28835840,0,99123200,69854.264,28.941,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,5.498
long_generation_systems,long_generation,50.0,360,384,744,8,93,47,1,45,0,2304,2304,2160,720,1440,73138176,37748736,14745600,0,52494336,70556.903,28.226,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,5.319
early_anchor_long_tail,anchor_recall,25.0,1231,96,1327,8,166,42,1,123,0,2064,2064,5904,1968,3936,130449408,33718272,40304640,0,74022912,55782.149,43.255,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,9.82
middle_anchor_detour,anchor_recall,25.0,954,128,1082,8,136,34,1,101,0,1680,1680,4848,1616,3232,106364928,26935296,33095680,0,60030976,55481.494,43.561,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,9.931
late_anchor_control,late_control,25.0,623,96,719,8,90,23,1,66,0,1152,1152,3168,1056,2112,70680576,18776064,21626880,0,40402944,56193.246,42.837,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,9.67
decoy_collision,confusable_recall,25.0,675,128,803,8,101,26,1,74,0,1296,1296,3552,1184,2368,78938112,20742144,24248320,0,44990464,56027.975,43.005,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,9.73
routing_table,structured_lookup,25.0,660,128,788,8,99,25,1,73,0,1248,1248,3504,1168,2336,77463552,20054016,23920640,0,43974656,55805.401,43.232,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,9.812
structured_records,structured_lookup,25.0,671,160,831,8,104,26,1,77,0,1296,1296,3696,1232,2464,81690624,21135360,25231360,0,46366720,55796.294,43.241,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,9.815
instruction_persistence,instruction_retention,25.0,1241,128,1369,8,172,43,1,128,0,2112,2112,6144,2048,4096,134578176,33914880,41943040,0,75857920,55411.191,43.633,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,9.957
multi_hop_bridge,multi_hop,25.0,635,160,795,8,100,25,1,74,0,1248,1248,3552,1184,2368,78151680,19955712,24248320,0,44204032,55602.556,43.438,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,9.886
payload_dense,dense_noise,25.0,1227,192,1419,8,178,45,1,132,0,2208,2208,6336,2112,4224,139493376,35684352,43253760,0,78938112,55629.395,43.411,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,9.877
long_generation_systems,long_generation,25.0,360,384,744,8,93,24,1,68,0,1200,1200,3264,1088,2176,73138176,19660800,22282240,0,41943040,56375.054,42.652,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,9.605
early_anchor_long_tail,anchor_recall,12.5,1231,96,1327,8,166,21,1,144,0,1056,1056,6912,2304,4608,130449408,17203200,47185920,0,64389120,48522.321,50.641,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,12.783
middle_anchor_detour,anchor_recall,12.5,954,128,1082,8,136,17,1,118,0,864,864,5664,1888,3776,106364928,13565952,38666240,0,52232192,48273.745,50.893,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,12.896
late_anchor_control,late_control,12.5,623,96,719,8,90,12,1,77,0,624,624,3696,1232,2464,70680576,10125312,25231360,0,35356672,49174.787,49.977,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,12.49
decoy_collision,confusable_recall,12.5,675,128,803,8,101,13,1,87,0,672,672,4176,1392,2784,78938112,10518528,28508160,0,39026688,48601.106,50.56,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,12.747
routing_table,structured_lookup,12.5,660,128,788,8,99,13,1,85,0,672,672,4080,1360,2720,77463552,10616832,27852800,0,38469632,48819.33,50.338,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,12.649
structured_records,structured_lookup,12.5,671,160,831,8,104,13,1,90,0,672,672,4320,1440,2880,81690624,10911744,29491200,0,40402944,48619.668,50.542,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,12.739
instruction_persistence,instruction_retention,12.5,1241,128,1369,8,172,22,1,149,0,1104,1104,7152,2384,4768,134578176,17399808,48824320,0,66224128,48374.089,50.791,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,12.85
multi_hop_bridge,multi_hop,12.5,635,160,795,8,100,13,1,86,0,672,672,4128,1376,2752,78151680,10518528,28180480,0,38699008,48677.997,50.482,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,12.712
payload_dense,dense_noise,12.5,1227,192,1419,8,178,23,1,154,0,1152,1152,7392,2464,4928,139493376,18382848,50462720,0,68845568,48516.961,50.646,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,12.785
long_generation_systems,long_generation,12.5,360,384,744,8,93,12,1,80,0,624,624,3840,1280,2560,73138176,10223616,26214400,0,36438016,48975.828,50.179,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,12.579
early_anchor_long_tail,anchor_recall,6.25,1231,96,1327,8,166,11,1,154,0,576,576,7392,2464,4928,130449408,9338880,50462720,0,59801600,45065.26,54.157,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,14.44
middle_anchor_detour,anchor_recall,6.25,954,128,1082,8,136,9,1,126,0,480,480,6048,2016,4032,106364928,7274496,41287680,0,48562176,44881.863,54.344,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,14.533
late_anchor_control,late_control,6.25,623,96,719,8,90,6,1,83,0,336,336,3984,1328,2656,70680576,5406720,27197440,0,32604160,45346.537,53.871,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,14.298
decoy_collision,confusable_recall,6.25,675,128,803,8,101,7,1,93,0,384,384,4464,1488,2976,78938112,5799936,30474240,0,36274176,45173.32,54.047,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,14.385
routing_table,structured_lookup,6.25,660,128,788,8,99,7,1,91,0,384,384,4368,1456,2912,77463552,5898240,29818880,0,35717120,45326.294,53.892,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,14.308
structured_records,structured_lookup,6.25,671,160,831,8,104,7,1,96,0,384,384,4608,1536,3072,81690624,6193152,31457280,0,37650432,45307.379,53.911,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,14.318
instruction_persistence,instruction_retention,6.25,1241,128,1369,8,172,11,1,160,0,576,576,7680,2560,5120,134578176,8749056,52428800,0,61177856,44687.988,54.541,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,14.632
multi_hop_bridge,multi_hop,6.25,635,160,795,8,100,7,1,92,0,384,384,4416,1472,2944,78151680,5799936,30146560,0,35946496,45215.718,54.004,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,14.364
payload_dense,dense_noise,6.25,1227,192,1419,8,178,12,1,165,0,624,624,7920,2640,5280,139493376,9732096,54067200,0,63799296,44960.744,54.264,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,14.493
long_generation_systems,long_generation,6.25,360,384,744,8,93,6,1,86,0,336,336,4128,1376,2752,73138176,5505024,28180480,0,33685504,45276.215,53.943,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,14.333
early_anchor_long_tail,anchor_recall,3.125,1231,96,1327,8,166,6,1,159,0,336,336,7632,2544,5088,130449408,5406720,52101120,0,57507840,43336.729,55.916,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,15.34
middle_anchor_detour,anchor_recall,3.125,954,128,1082,8,136,5,1,130,0,288,288,6240,2080,4160,106364928,4128768,42598400,0,46727168,43185.922,56.069,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,15.421
late_anchor_control,late_control,3.125,623,96,719,8,90,3,1,86,0,192,192,4128,1376,2752,70680576,3047424,28180480,0,31227904,43432.412,55.818,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,15.289
decoy_collision,confusable_recall,3.125,675,128,803,8,101,4,1,96,0,240,240,4608,1536,3072,78938112,3440640,31457280,0,34897920,43459.427,55.791,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,15.274
routing_table,structured_lookup,3.125,660,128,788,8,99,4,1,94,0,240,240,4512,1504,3008,77463552,3538944,30801920,0,34340864,43579.777,55.668,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,15.21
structured_records,structured_lookup,3.125,671,160,831,8,104,4,1,99,0,240,240,4752,1584,3168,81690624,3833856,32440320,0,36274176,43651.235,55.596,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,15.172
instruction_persistence,instruction_retention,3.125,1241,128,1369,8,172,6,1,165,0,336,336,7920,2640,5280,134578176,4816896,54067200,0,58884096,43012.488,56.245,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,15.515
multi_hop_bridge,multi_hop,3.125,635,160,795,8,100,4,1,95,0,240,240,4560,1520,3040,78151680,3440640,31129600,0,34570240,43484.579,55.765,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,15.261
payload_dense,dense_noise,3.125,1227,192,1419,8,178,6,1,171,0,336,336,8208,2736,5472,139493376,5013504,56033280,0,61046784,43020.989,56.237,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,15.51
long_generation_systems,long_generation,3.125,360,384,744,8,93,3,1,89,0,192,192,4272,1424,2848,73138176,3145728,29163520,0,32309248,43426.409,55.824,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,15.292
early_anchor_long_tail,anchor_recall,0.0,1231,96,1327,8,166,0,1,165,0,48,48,7920,2640,5280,130449408,786432,54026240,0,54812672,41305.706,57.982,29.3345,35.6871,0.1778,100.0,100.0,3,7968,0,True,16.667,16.467
middle_anchor_detour,anchor_recall,0.0,954,128,1082,8,136,0,1,135,0,48,48,6480,2160,4320,106364928,786432,43991040,0,44777472,41383.985,57.902,29.4023,35.949,0.1539,100.0,100.0,3,6528,0,True,16.667,16.422
late_anchor_control,late_control,0.0,623,96,719,8,90,0,1,89,0,48,48,4272,1424,2848,70680576,786432,29122560,0,29908992,41598.042,57.684,30.2448,36.8657,0.1472,100.0,100.0,3,4320,0,True,16.667,16.3
decoy_collision,confusable_recall,0.0,675,128,803,8,101,0,1,100,0,48,48,4800,1600,3200,78938112,786432,32563200,0,33349632,41531.298,57.752,30.1318,36.936,0.0969,100.0,100.0,3,4848,0,True,16.667,16.338
routing_table,structured_lookup,0.0,660,128,788,8,99,0,1,98,0,48,48,4704,1568,3136,77463552,786432,31948800,0,32735232,41542.173,57.741,30.1439,36.5803,0.1063,0.0,0.0,3,4752,0,True,16.667,16.332
structured_records,structured_lookup,0.0,671,160,831,8,104,0,1,103,0,48,48,4944,1648,3296,81690624,786432,33710080,0,34496512,41512.048,57.772,29.694,45.3907,0.1469,0.0,0.0,3,4992,0,True,16.667,16.349
instruction_persistence,instruction_retention,0.0,1241,128,1369,8,172,0,1,171,0,48,48,8208,2736,5472,134578176,786432,55746560,0,56532992,41295.1,57.992,29.5305,36.5824,0.1432,100.0,100.0,3,8256,0,True,16.667,16.473
multi_hop_bridge,multi_hop,0.0,635,160,795,8,100,0,1,99,0,48,48,4752,1584,3168,78151680,786432,32235520,0,33021952,41537.047,57.746,29.5628,36.2052,0.1396,100.0,100.0,3,4800,0,True,16.667,16.335
payload_dense,dense_noise,0.0,1227,192,1419,8,178,0,1,177,0,48,48,8496,2832,5664,139493376,786432,57794560,0,58580992,41283.292,58.004,29.3058,36.7109,0.1506,100.0,100.0,3,8544,0,True,16.667,16.48
long_generation_systems,long_generation,0.0,360,384,744,8,93,0,1,92,0,48,48,4416,1472,2944,73138176,786432,30146560,0,30932992,41576.602,57.706,29.6228,35.4191,0.1244,0.0,0.0,3,4464,0,True,16.667,16.312
early_anchor_long_tail,anchor_recall,75.0,1231,96,1327,16,83,63,1,19,0,3072,3072,912,304,608,130449408,100564992,12451840,0,113016832,85167.168,13.363,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True,16.667,2.156
middle_anchor_detour,anchor_recall,75.0,954,128,1082,16,68,51,1,16,0,2496,2496,768,256,512,106364928,81199104,10485760,0,91684864,84736.473,13.802,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True,16.667,2.236
late_anchor_control,late_control,75.0,623,96,719,16,45,34,1,10,0,1680,1680,480,160,320,70680576,54951936,6553600,0,61505536,85543.166,12.981,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True,16.667,2.087
decoy_collision,confusable_recall,75.0,675,128,803,16,51,39,1,11,0,1920,1920,528,176,352,78938112,61636608,7208960,0,68845568,85735.452,12.785,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True,16.667,2.051
routing_table,structured_lookup,75.0,660,128,788,16,50,38,1,11,0,1872,1872,528,176,352,77463552,60162048,7208960,0,67371008,85496.203,13.029,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True,16.667,2.095
structured_records,structured_lookup,75.0,671,160,831,16,52,39,1,12,0,1920,1920,576,192,384,81690624,62816256,7864320,0,70680576,85054.845,13.478,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True,16.667,2.177
instruction_persistence,instruction_retention,75.0,1241,128,1369,16,86,65,1,20,0,3168,3168,960,320,640,134578176,103120896,13107200,0,116228096,84899.997,13.635,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True,16.667,2.206
multi_hop_bridge,multi_hop,75.0,635,160,795,16,50,38,1,11,0,1872,1872,528,176,352,78151680,60850176,7208960,0,68059136,85608.976,12.914,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True,16.667,2.074
payload_dense,dense_noise,75.0,1227,192,1419,16,89,67,1,21,0,3264,3264,1008,336,672,139493376,106463232,13762560,0,120225792,84725.717,13.813,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True,16.667,2.238
long_generation_systems,long_generation,75.0,360,384,744,16,47,36,1,10,0,1776,1776,480,160,320,73138176,57409536,6553600,0,63963136,85971.957,12.545,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True,16.667,2.008
early_anchor_long_tail,anchor_recall,50.0,1231,96,1327,16,83,42,1,40,0,2064,2064,1920,640,1280,130449408,67534848,26214400,0,93749248,70647.512,28.134,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True,16.667,5.296
middle_anchor_detour,anchor_recall,50.0,954,128,1082,16,68,34,1,33,0,1680,1680,1584,528,1056,106364928,54460416,21626880,0,76087296,70320.976,28.466,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True,16.667,5.379
late_anchor_control,late_control,50.0,623,96,719,16,45,23,1,21,0,1152,1152,1008,336,672,70680576,37650432,13762560,0,51412992,71506.248,27.26,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True,16.667,5.082
decoy_collision,confusable_recall,50.0,675,128,803,16,51,26,1,24,0,1296,1296,1152,384,768,78938112,41189376,15728640,0,56918016,70881.714,27.895,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True,16.667,5.237
routing_table,structured_lookup,50.0,660,128,788,16,50,25,1,24,0,1248,1248,1152,384,768,77463552,39714816,15728640,0,55443456,70359.716,28.426,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True,16.667,5.369
structured_records,structured_lookup,50.0,671,160,831,16,52,26,1,25,0,1296,1296,1200,400,800,81690624,42369024,16384000,0,58753024,70701.593,28.079,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True,16.667,5.283
instruction_persistence,instruction_retention,50.0,1241,128,1369,16,86,43,1,42,0,2112,2112,2016,672,1344,134578176,68517888,27525120,0,96043008,70155.594,28.634,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True,16.667,5.421
multi_hop_bridge,multi_hop,50.0,635,160,795,16,50,25,1,24,0,1248,1248,1152,384,768,78151680,40402944,15728640,0,56131584,70605.766,28.176,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True,16.667,5.307
payload_dense,dense_noise,50.0,1227,192,1419,16,89,45,1,43,0,2208,2208,2064,688,1376,139493376,71860224,28180480,0,100040704,70500.848,28.283,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True,16.667,5.333
long_generation_systems,long_generation,50.0,360,384,744,16,47,24,1,22,0,1200,1200,1056,352,704,73138176,38535168,14417920,0,52953088,71173.505,27.599,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True,16.667,5.164
early_anchor_long_tail,anchor_recall,25.0,1231,96,1327,16,83,21,1,61,0,1056,1056,2928,976,1952,130449408,34504704,39976960,0,74481664,56127.855,42.904,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True,16.667,9.694
middle_anchor_detour,anchor_recall,25.0,954,128,1082,16,68,17,1,50,0,864,864,2400,800,1600,106364928,27721728,32768000,0,60489728,55905.479,43.13,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True,16.667,9.775
late_anchor_control,late_control,25.0,623,96,719,16,45,12,1,32,0,624,624,1536,512,1024,70680576,20348928,20971520,0,41320448,57469.33,41.539,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True,16.667,9.215
decoy_collision,confusable_recall,25.0,675,128,803,16,51,13,1,37,0,672,672,1776,592,1184,78938112,20742144,24248320,0,44990464,56027.975,43.005,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True,16.667,9.73
routing_table,structured_lookup,25.0,660,128,788,16,50,13,1,36,0,672,672,1728,576,1152,77463552,20840448,23592960,0,44433408,56387.574,42.64,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True,16.667,9.6
structured_records,structured_lookup,25.0,671,160,831,16,52,13,1,38,0,672,672,1824,608,1216,81690624,21921792,24903680,0,46825472,56348.342,42.68,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True,16.667,9.614
instruction_persistence,instruction_retention,25.0,1241,128,1369,16,86,22,1,63,0,1104,1104,3024,1008,2016,134578176,35487744,41287680,0,76775424,56081.391,42.951,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True,16.667,9.711
multi_hop_bridge,multi_hop,25.0,635,160,795,16,50,13,1,36,0,672,672,1728,576,1152,78151680,21528576,23592960,0,45121536,56756.649,42.264,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True,16.667,9.467
payload_dense,dense_noise,25.0,1227,192,1419,16,89,23,1,65,0,1152,1152,3120,1040,2080,139493376,37257216,42598400,0,79855616,56275.98,42.753,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True,16.667,9.64
long_generation_systems,long_generation,25.0,360,384,744,16,47,12,1,34,0,624,624,1632,544,1088,73138176,19660800,22282240,0,41943040,56375.054,42.652,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True,16.667,9.605
early_anchor_long_tail,anchor_recall,12.5,1231,96,1327,16,83,11,1,71,0,576,576,3408,1136,2272,130449408,18776064,46530560,0,65306624,49213.733,49.937,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True,16.667,12.473
middle_anchor_detour,anchor_recall,12.5,954,128,1082,16,68,9,1,58,0,480,480,2784,928,1856,106364928,15138816,38010880,0,53149696,49121.715,50.031,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True,16.667,12.513
late_anchor_control,late_control,12.5,623,96,719,16,45,6,1,38,0,336,336,1824,608,1216,70680576,10911744,24903680,0,35815424,49812.829,49.328,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True,16.667,12.209
decoy_collision,confusable_recall,12.5,675,128,803,16,51,7,1,43,0,384,384,2064,688,1376,78938112,11304960,28180480,0,39485440,49172.403,49.979,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True,16.667,12.491
routing_table,structured_lookup,12.5,660,128,788,16,50,7,1,42,0,384,384,2016,672,1344,77463552,11403264,27525120,0,38928384,49401.503,49.746,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True,16.667,12.389
structured_records,structured_lookup,12.5,671,160,831,16,52,7,1,44,0,384,384,2112,704,1408,81690624,12484608,28835840,0,41320448,49723.764,49.418,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True,16.667,12.248
instruction_persistence,instruction_retention,12.5,1241,128,1369,16,86,11,1,74,0,576,576,3552,1184,2368,134578176,18186240,48496640,0,66682880,48709.189,50.45,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True,16.667,12.698
multi_hop_bridge,multi_hop,12.5,635,160,795,16,50,7,1,42,0,384,384,2016,672,1344,78151680,12091392,27525120,0,39616512,49832.091,49.308,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True,16.667,12.2
payload_dense,dense_noise,12.5,1227,192,1419,16,89,12,1,76,0,624,624,3648,1216,2432,139493376,19955712,49807360,0,69763072,49163.546,49.988,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True,16.667,12.495
long_generation_systems,long_generation,12.5,360,384,744,16,47,6,1,40,0,336,336,1920,640,1280,73138176,10223616,26214400,0,36438016,48975.828,50.179,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True,16.667,12.579
early_anchor_long_tail,anchor_recall,6.25,1231,96,1327,16,83,6,1,76,0,336,336,3648,1216,2432,130449408,10911744,49807360,0,60719104,45756.672,53.454,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True,16.667,14.094
middle_anchor_detour,anchor_recall,6.25,954,128,1082,16,68,5,1,62,0,288,288,2976,992,1984,106364928,8847360,40632320,0,49479680,45729.834,53.481,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True,16.667,14.107
late_anchor_control,late_control,6.25,623,96,719,16,45,3,1,41,0,192,192,1968,656,1312,70680576,6193152,26869760,0,33062912,45984.579,53.222,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True,16.667,13.981
decoy_collision,confusable_recall,6.25,675,128,803,16,51,4,1,46,0,240,240,2208,736,1472,78938112,6586368,30146560,0,36732928,45744.618,53.466,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True,16.667,14.1
